Thématiques,Critères,Page de connexion|https://simulation.parcoursup.fr/Candidat/authentification,Page de connexion - message d'erreur |https://simulation.parcoursup.fr/Candidat/authentification?,Candidat en test - Bulletins scolaires |https://simulation.parcoursup.fr/Candidat/scolarite.bulletins,Candidat en test - Scolarité 2021/2022|https://simulation.parcoursup.fr/Candidat/scolarite.annee-scolaire?ACTION=2&i_cs_ann=0,Candidat en test - Validation de votre scolarité |https://simulation.parcoursup.fr/Candidat/scolarite.validation?ACTION=0,Candidat en test - Consultation d'un vœu | https://simulation.parcoursup.fr/Candidat/candidature?ACTION=1&g_ti_cod=25777,Candidat en Test - Représentants Légaux - page de modification | https://simulation.parcoursup.fr/Candidat/inscription?ACTION=12&modif=1,Candidat en Test - Activités / Centres d'intérêt | https://simulation.parcoursup.fr/Candidat/activite-interet?ACTION=0, Candidat en Test - Messages | https://simulation.parcoursup.fr/Candidat/messagerie.personnelle?ACTION=1,Recherche des formations | https://simulation.parcoursup.fr/Candidat/carte.candidature?ACTION=1&dpt=75,Liste des représentants légaux|https://simulation.parcoursup.fr/Candidat/inscription?ACTION=11,Liste de la scolarité| https://simulation.parcoursup.fr/Candidat/scolarite.annee-scolaire?ACTION=5,Liste des vœux| https://simulation.parcoursup.fr/Candidat/candidatures.liste,Page activités et centre d'intérêt (confirmation de la saisie)| https://simulation.parcoursup.fr/Candidat/activite-interet?ACTION=1
1,1,c,c,c,c,c,c,c,c,c,c,c,c,c,c
1,2,na,c,c,nc,nc,c,c,c,c,c,c,c,c,c
1,3,c,c,c,nc,c,c,c,c,c,c,c,c,c,c
1,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,1,nc,nc,nc,nc,nc,nc,nc,nc,nc,c,nc,nc,nc,nc
3,2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
3,3,c,c,nc,c,c,c,c,c,c,nc,c,c,c,nc
4,1,na,na,na,na,na,na,na,na,na,nc,na,na,na,na
4,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,3,na,na,na,na,na,na,na,na,na,c,na,na,na,na
4,4,na,na,na,na,na,na,na,na,na,c,na,na,na,na
4,5,na,na,na,na,na,na,na,na,na,nc,na,na,na,na
4,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,7,na,na,na,na,na,na,na,na,na,c,na,na,na,na
4,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,10,na,na,na,na,na,na,na,na,na,c,na,na,na,na
4,11,na,na,na,na,na,na,na,na,na,c,na,na,na,na
4,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,13,na,na,na,na,na,na,na,na,na,c,na,na,na,na
5,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na
5,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na
5,3,na,nc,nc,nc,na,nc,nc,nc,na,c,nc,nc,nc,nc
5,4,na,na,nc,na,nc,nc,na,na,c,na,na,c,c,nc
5,5,na,na,na,na,na,na,na,na,c,na,na,c,c,na
5,6,na,na,c,na,na,nc,na,na,c,na,na,c,c,nc
5,7,na,na,nc,na,na,nc,na,na,c,na,na,c,c,nc
5,8,na,c,c,c,c,c,c,c,c,c,na,c,c,c
6,1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
6,2,c,c,c,c,c,na,c,c,c,nc,c,na,c,c
7,1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
7,2,na,na,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
7,3,c,c,c,nc,c,nc,c,c,c,nc,c,c,nc,nc
7,4,na,na,na,nc,na,nc,na,na,nc,na,na,na,na,nc
7,5,na,na,na,nc,na,na,na,na,na,nc,na,na,na,nc
8,1,c,c,c,c,c,c,c,c,c,c,c,c,c,c
8,2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
8,3,c,c,c,c,c,c,c,c,c,c,c,c,c,c
8,4,c,c,c,c,c,c,c,c,c,c,c,c,c,c
8,5,c,c,c,c,c,c,c,c,c,c,c,c,c,c
8,6,c,nc,c,nc,c,c,c,c,nc,nc,c,nc,nc,c
8,7,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
8,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na
8,9,nc,nc,nc,nc,nc,c,nc,nc,nc,nc,nc,nc,nc,nc
8,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9,1,nc,c,nc,nc,nc,nc,nc,nc,nc,nc,c,nc,nc,nc
9,2,c,c,c,c,c,c,c,c,c,nc,c,c,c,c
9,3,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
9,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10,1,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,2,c,c,nc,c,c,c,c,c,c,nc,c,c,nc,c
10,3,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,4,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,5,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10,7,c,c,c,c,c,c,c,c,c,nc,c,c,c,c
10,8,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,9,c,c,nc,nc,nc,nc,nc,nc,na,c,nc,nc,nc,nc
10,10,c,c,na,na,nc,na,na,na,na,c,na,na,na,na
10,11,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
10,12,c,c,c,c,c,c,c,c,c,nc,c,c,c,c
10,13,na,nc,nc,nc,nc,nc,nc,nc,na,nc,nc,nc,nc,nc
10,14,na,na,na,na,na,na,na,na,c,nc,na,na,c,c
11,1,c,na,c,nc,na,na,c,na,na,nc,na,na,na,c
11,2,c,na,nc,c,na,na,c,na,na,na,na,na,na,c
11,3,na,na,na,c,na,na,c,na,na,na,na,na,na,na
11,4,c,na,na,c,na,na,c,na,na,na,na,na,na,c
11,5,na,na,na,nc,na,na,nc,na,na,na,na,na,na,na
11,6,na,na,na,nc,na,na,na,na,na,na,na,na,na,na
11,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na
11,8,na,na,na,c,na,na,c,na,na,na,na,na,na,na
11,9,c,na,c,c,na,na,c,na,na,na,na,na,na,c
11,10,c,na,nc,c,nc,na,nc,na,nc,na,na,na,na,na
11,11,c,na,nc,na,na,na,nc,na,na,na,na,na,na,na
11,12,na,na,c,c,na,na,c,na,na,na,na,na,na,c
11,13,na,na,na,na,na,na,nc,na,na,na,na,na,na,na
12,1,c,c,c,c,c,c,c,c,c,nc,c,c,c,c
12,2,c,c,c,c,c,c,c,c,c,nc,c,c,c,c
12,3,c,c,c,c,c,c,c,c,c,na,c,c,c,c
12,4,c,c,c,c,c,c,c,c,c,na,c,c,c,c
12,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na
12,6,c,c,c,c,c,c,c,c,c,nc,c,c,c,c
12,7,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
12,8,c,c,c,c,c,nc,c,c,c,c,c,c,c,nc
12,9,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
12,11,na,na,c,c,na,c,c,c,c,na,c,c,na,c
13,1,c,c,c,c,c,c,c,nc,c,nc,nc,nc,c,nc
13,2,c,c,c,c,c,c,c,c,c,c,c,c,c,c
13,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,9,c,c,c,c,c,c,c,c,c,c,c,c,c,c
13,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,11,c,c,c,c,c,c,c,c,c,c,na,c,c,c
13,12,na,na,na,na,na,na,na,na,na,na,c,na,na,na
